name,river_name,seg_id,latitude,longitude,dist_deg
Mohre Wari Pokher,,,26.550663,77.212601,
Dho Vare Ki Pokher,,,26.546162,77.212411,
Rinjhari Ka Baandh,,,26.403353,77.214781,
Kam Wala Pagara,,,26.395622,77.263716,
Maindhan Ki Pokher,,,26.407615,77.28878,
Fagolwari pokher,,,26.488307,77.456245,
Khadria ki pokher,,,26.490967,77.457462,
Lohara wali second,,,26.497674,77.454367,
Namate ki pokher,,,26.500289,77.457571,
Talaeya ka tal,,,26.522068,77.505149,
Sire Ki Pokher,,,26.505304,77.489291,
Baher second ki pokher,,,26.508853,77.499707,
Rundh Ka Taal,,,26.614975,77.34115,
Tapua Wari Pokher,,,26.624172,77.340536,
Vilagarh Ki Pokher,,,26.626154,77.336874,
Gandhel Vali Pokher,,,26.625987,77.345096,
Baans Ke Nare Ka Taal,,,26.632496,77.345532,
Parela Wari Pokher,,,26.62009,77.345252,
Kadam Vale Nare Ka Taal,,,26.636323,77.351106,
Ramda ki Jarna,,,26.68014,77.377225,
Tighra Dam,Sank,3362.0,26.222423,78.001761,0.001889
Tighra Dam,Sank,3362.0,26.21217,77.984913,0.002775
Pillowa Dam,Sank,3362.0,26.451372,78.146066,0.001395
Kotwal Dam,Asan,3366.0,26.488894,78.128061,0.000589
Kapgari Bandh,,,22.527652,86.869663,
lal pokhra,,,24.260486,87.253599,
Massanjore Reservoir,,,24.152509,87.296553,
patra river,,,23.172139,88.095042,
pani tanki,,,25.584044,85.032098,
gandhi maidan panitanki,,,25.584505,85.051601,
Tapandighi,,,25.300772,88.569338,
Durgapur Barrage,,,23.477017,87.303565,
Dhaldighi,Punarbhaba,1548.0,25.399471,88.533973,0.019125
Kaladighi,,,25.397676,88.545795,
Pransagar,,,25.447966,88.609968,
Mahipaldighi,Tangan,1560.0,25.516469,88.485062,0.00862
Jargo Dam,Ganga,4039.0,25.047281,82.957512,0.011262
Saddle Dam,,,29.532024,78.778451,
Ramganga Dam,Ramganga,3882.0,29.518533,78.75869,6e-05
Phika Barrage,,,29.362973,78.871543,
Tumaria Dam,,,29.316994,78.911867,
Ram Ganga Barrage,Ramganga,3834.0,28.291258,79.372881,0.003297
Balancing Reservoir,,,25.589812,78.47002,
Matatila Reservoir,Betwa,4158.0,25.056615,78.332095,0.014155
Matatila Dam,Betwa,3478.0,25.102814,78.367106,0.003479
Mata Tila Dam,Betwa,4159.0,25.09821,78.372608,0.001015
Govind Sagar,Jamni,4160.0,24.649096,78.413509,0.007259
GOVIND SAGAR DAM,,,24.877039,78.253849,
Rajghat dam,Betwa,4157.0,24.763912,78.226359,0.004752
Lokal galee,,,23.62737,78.577423,
Sanjay Sagar,Baen,4198.0,23.771162,77.484714,0.005454
Nighori dam,,,22.656102,81.025975,
Bichiya Dam,,,22.436334,80.696089,
Dhakuria Lake,,,22.510418,88.356366,
Lal Dighi,,,22.57195,88.349122,
