name,state,address,local_river,river_name,seg_id,dist_deg,latitude,longitude,half_m,dam_length_m,capacity_m3,capacity_mcm,reservoir_area_m2,effective_storage_m3,osm_name
Mausandha Dam,Madhya Pradesh,"Ghatprabha River, Sihora, Madhya Pradesh",Ghatprabha,,,,23.7108,79.9192,11.93,1073.0,1393000.0,1.393,1000000,1236000.0,
Samarsingha Dam,Madhya Pradesh,"Local River, Guna, Madhya Pradesh",Local,,,,24.6553,77.1647,11.88,1380.0,6090000.0,6.09,2140000,5476000.0,
Amahi Dam,Madhya Pradesh,"Akhebarnadi River, Ashok Ngr., Madhya Pradesh",Akhebarnadi,,,,24.5194,77.6825,14.63,2700.0,11270000.0,11.27,3000000,10660000.0,
Rampur Dam,Madhya Pradesh,"Negi River, Guna, Madhya Pradesh",Negi,Parbati,3340.0,0.004973,24.7731,77.1719,24.38,1646.0,15038000.0,15.038,4337000,14184000.0,
Tigra Dam,Madhya Pradesh,"Sankh River, Gwalior, Madhya Pradesh",Sankh,Sank,3362.0,0.000377,26.2225,77.9997,,,,,15410812,,Tighra Dam
Harsi Dam,Madhya Pradesh,"Parwati River, Karera, Madhya Pradesh",Parwati,,,,25.7514,77.2319,29.26,2134.0,19267000.0,19.267,25230000,17902000.0,
Patharhatta Dam,Madhya Pradesh,"Local Nalla River, Sambalpur, Madhya Pradesh",Local Nalla,,,,24.5981,80.6958,17.37,1432.0,2695000.0,2.695,408000,2508000.0,
Chandapatha Dam,Madhya Pradesh,"Local River, Shivpuri, Madhya Pradesh",Local,,,,25.4339,77.7125,13.81,2145.0,7780000.0,7.78,2130000,7380000.0,
Baisly Dam,Madhya Pradesh,"Vaisali River, Gohad, Madhya Pradesh",Vaisali,Vaisali,3370.0,0.001953,26.4289,78.4297,12.19,2134.0,21678000.0,21.678,10700000,15056000.0,
Chhoti Deori Dam,Madhya Pradesh,"Bearona River, Hata, Madhya Pradesh",Bearona,,,,23.5642,79.7233,12.05,445.0,840000.0,0.84,826074,653000.0,
Lower Sakarwara Dam,Madhya Pradesh,"Patpara River, Sihora, Madhya Pradesh",Patpara,,,,23.78,79.8778,11.62,1097.0,3482000.0,3.482,407019,2437400.0,
Jaguwa Dam,Madhya Pradesh,"Bhader River, Murwara, Madhya Pradesh",Bhader,,,,23.7458,80.8744,13.26,1368.0,4810000.0,4.81,1470000,4507000.0,
Ratona Dam,Madhya Pradesh,"Local River, Sagar, Madhya Pradesh",Local,,,,23.8219,78.6617,10.08,1097.0,618000.0,0.618,170297,597000.0,
Chandia Nalla Dam,Madhya Pradesh,"Local River, Sambalpur, Madhya Pradesh",Local,,,,24.31,79.0511,23.0,310.0,6000000.0,6.0,921000,5790000.0,
Narayanpura Dam,Madhya Pradesh,"Local River, Sambalpur, Madhya Pradesh",Local,,,,24.5136,79.0689,10.0,1143.0,1357000.0,1.357,1345000,1281000.0,
Amadi Dam,Madhya Pradesh,"Amadi River, Murwara, Madhya Pradesh",Amadi,,,,23.8231,80.56,14.8,1280.0,6040000.0,6.04,812427,5621000.0,
Mala Dam,Madhya Pradesh,"Sun Nadi River, Damoh, Madhya Pradesh",Sun Nadi,,,,23.6961,79.7375,16.76,2518.0,19960000.0,19.96,2384290,16870000.0,
Godaghat Dam,Madhya Pradesh,"Local River, Hatta, Madhya Pradesh",Local,,,,23.795,79.8156,18.4,1740.0,4630000.0,4.63,1619000,4300000.0,
Depalpur Dam,Madhya Pradesh,"Banaria Nalla River, Depalpur, Madhya Pradesh",Banaria Nalla,,,,22.8711,75.5717,10.05,3240.0,22460000.0,22.46,8340000,13390000.0,
Ramova Dam,Madhya Pradesh,"Londra Nadi River, Gwalior, Madhya Pradesh",Londra Nadi,,,,26.1589,78.2233,21.33,384.0,12960000.0,12.96,8533000,12827000.0,
Aoda Dam,Madhya Pradesh,"Seep River, Sheopur, Madhya Pradesh",Seep,,,,25.515,76.7858,16.7,1158.0,55700000.0,55.7,8185000,45000000.0,
Kaketo Dam,Madhya Pradesh,"Parwati River, Pohri, Madhya Pradesh",Parwati,Parbati,3453.0,0.00297,25.8992,77.695,37.64,1047.0,80510000.0,80.51,8906900,79180000.0,
Jamonia Dam,Madhya Pradesh,"Local River, Sehore, Madhya Pradesh",Local,,,,23.24,77.1092,14.12,2160.0,12496000.0,12.496,3770000,11327000.0,
Lilgi Bund Bela Dam,Madhya Pradesh,"Lilgi Nalla River, Maihar, Madhya Pradesh",Lilgi Nalla,,,,24.2614,80.7369,13.7,2460.0,15150000.0,15.15,378945,14840000.0,
Yashvant Sagar Dam,Madhya Pradesh,"Gambhir River, Sanwer, Madhya Pradesh",Gambhir,Gambhir,3655.0,0.002593,22.8244,75.6939,18.0,1850.0,15963000.0,15.963,485500,14650000.0,
Konajhir Dam,Madhya Pradesh,"Local River, Sehore, Madhya Pradesh",Local,,,,23.1303,77.0481,11.07,1200.0,1035000.0,1.035,1140000,1005000.0,
Noonpani Dam,Madhya Pradesh,"Local River, Damoh, Madhya Pradesh",Local,,,,23.8703,79.5883,12.15,670.0,750000.0,0.75,209194,700000.0,
Sirsa Dam,Madhya Pradesh,"Koil River, Gwalior, Madhya Pradesh",Koil,,,,26.045,77.8831,11.89,780.0,7381000.0,7.381,278900,7206000.0,
Gopalpura Dam,Madhya Pradesh,"Local River, Garot, Madhya Pradesh",Local,Retam,3645.0,0.000817,24.3171,75.1798,18.9,792.48,5657000.0,5.657,2007000,5269000.0,
Poiadonger Dam,Madhya Pradesh,"Local River, Garot, Madhya Pradesh",Local,,,,24.2403,75.7464,19.26,751.0,2197000.0,2.197,107400,2061200.0,
Ghatera Dam,Madhya Pradesh,"Karnari River, Vidisha, Madhya Pradesh",Karnari,,,,23.5419,78.1111,14.6,1560.0,3580000.0,3.58,1041000,3481000.0,
Mola Dam,Madhya Pradesh,"Local River, Mungawali, Madhya Pradesh",Local,,,,24.3747,77.8775,25.0,667.57,13050000.0,13.05,2150000,11700000.0,
Kadodia Dam,Madhya Pradesh,"Local River, Taruna, Madhya Pradesh",Local,,,,23.5114,76.1439,10.06,840.0,1105000.0,1.105,337000,1065000.0,
Banda Bedra Dam,Madhya Pradesh,"Local River, N Garh, Madhya Pradesh",Local,Baen,4198.0,0.009346,23.7453,77.8075,12.2,731.32,2454000.0,2.454,717000,2429000.0,
Raipura Dam,Madhya Pradesh,"Local River, Sehore, Madhya Pradesh",Local,,,,23.2728,77.1147,10.3,1415.38,1307000.0,1.307,550000,1245000.0,
Sudra Dam,Madhya Pradesh,"Kuhynala River, Raisen, Madhya Pradesh",Kuhynala,,,,23.2508,77.7286,11.58,445.0,1646000.0,1.646,657000,1520000.0,
Dhamdhusar Dam,Madhya Pradesh,"Charua River, Goharganj, Madhya Pradesh",Charua,,,,23.0322,77.7014,10.05,1100.0,2577000.0,2.577,1108000,2435000.0,
Dahod Dam,Madhya Pradesh,"Bhoghvi River, Goharganj, Madhya Pradesh",Bhoghvi,,,,23.0322,77.4875,13.73,780.0,19364000.0,19.364,6040000,17665000.0,
Jalheridhana Dam,Madhya Pradesh,"Local River, Damoh, Madhya Pradesh",Local,,,,23.6206,79.6631,14.2,355.0,1000000.0,1.0,130350,720000.0,
Pipariya Jugraj Dam,Madhya Pradesh,"Gahira Nalla River, Damoh, Madhya Pradesh",Gahira Nalla,,,,23.6097,79.6653,11.27,797.0,510000.0,0.51,283000,430000.0,
Moti Nalla Dam,Madhya Pradesh,"Local River, Damoh, Madhya Pradesh",Local,,,,23.8072,79.8228,15.64,732.0,2900000.0,2.9,494000,1693000.0,
Jabera Dam,Madhya Pradesh,"Jamunha Nalla River, Damoh, Madhya Pradesh",Jamunha Nalla,,,,23.5583,79.7161,20.03,1587.0,4050000.0,4.05,1821000,3390000.0,
Morwan Dam,Madhya Pradesh,"Gameri River, Jawad, Madhya Pradesh",Gameri,,,,24.6306,75.0033,31.08,1133.85,16460000.0,16.46,3210000,15760000.0,
Lilgi Reservoir Dam,Madhya Pradesh,"Lilgi River, Maiha, Madhya Pradesh",Lilgi,,,,24.2619,80.7358,13.72,960.0,2209000.0,2.209,460000,2010000.0,
Satak Dam,Madhya Pradesh,"Satak River, Kasrawad, Madhya Pradesh",Satak,Chambal,3658.0,0.015593,23.0542,75.5383,25.0,1650.0,25610000.0,25.61,4530500,19860000.0,
Gandhi Sagar Dam,Madhya Pradesh,"Chambal River, Manasa, Madhya Pradesh",Chambal,,,,24.0828,75.5533,62.17,514.0,73220000.0,73.22,60000000,67974000.0,
Barrach Dam,Madhya Pradesh,"Local River, Panna, Madhya Pradesh",Local,,,,24.6208,80.1533,12.08,497.0,1588000.0,1.588,440000,1481000.0,
Tejgarh Dam,Madhya Pradesh,"Local River, Damoh, Madhya Pradesh",Local,,,,23.6081,79.4056,31.69,747.0,6790000.0,6.79,870000,5720000.0,
Singhpur Dam,Madhya Pradesh,"Local River, Nagod, Madhya Pradesh",Local,,,,24.7572,80.5581,12.2,1010.0,2771000.0,2.771,810000,2113000.0,
Harridih Dam,Madhya Pradesh,"Local River, Sohagpur, Madhya Pradesh",Local,Johilla,4372.0,0.008524,23.2414,81.0789,14.36,630.0,304000.0,0.304,1206000,272000.0,
Daroli Dam,Madhya Pradesh,"Kenkra Nalla River, Damoh, Madhya Pradesh",Kenkra Nalla,,,,23.3522,79.4114,22.08,1341.0,4860000.0,4.86,1433000,4600000.0,
Hathaikheda Dam,Madhya Pradesh,"Ajnar River, Bhopal, Madhya Pradesh",Ajnar,,,,23.2683,77.4978,17.1,1581.0,16277000.0,16.277,3130000,1524000.0,
Ram Sagar Dam,Madhya Pradesh,"Nicholi River, Datia, Madhya Pradesh",Nicholi,,,,25.6742,78.3992,13.41,474.0,5866000.0,5.866,2600000,5744000.0,
Goratal Dam,Madhya Pradesh,"Goratal River, Sambalpur, Madhya Pradesh",Goratal,,,,24.9719,79.4553,21.34,1341.0,11250000.0,11.25,8666000,11006000.0,
Chhuhiya Dam,Madhya Pradesh,"Local River, Mauganj, Madhya Pradesh",Local,,,,24.5783,81.81,12.1,645.0,568000.0,0.568,71165,546000.0,
Pdamasagar Dam,Madhya Pradesh,"Local River, Tikamgarh, Madhya Pradesh",Local,,,,25.0008,78.9519,14.38,137.0,1911000.0,1.911,366386,1341000.0,
Belgaon Dam,Madhya Pradesh,"Local Nalla River, Sambalpur, Madhya Pradesh",Local Nalla,,,,23.7297,79.7531,16.84,625.0,300000.0,0.3,80000,299000.0,
Madarkha Bandhi Dam,Madhya Pradesh,"Manyara River, Chhatarpur, Madhya Pradesh",Manyara,Urmal,4140.0,0.013294,25.0875,79.6,10.0,2130.0,1070000.0,1.07,400000,911000.0,
Chandania Dam,Madhya Pradesh,"Murna Nalla River, Sohagpur, Madhya Pradesh",Murna Nalla,,,,23.1808,81.3392,16.8,72.0,1228000.0,1.228,457200,1110000.0,
Jambar Dam,Madhya Pradesh,"Local River, Vidisha, Madhya Pradesh",Local,Halali,4192.0,0.015235,23.5506,77.755,11.2,330.0,1320000.0,1.32,708000,1260000.0,
Simrar Dam,Madhya Pradesh,"Simrar River, Murwara, Madhya Pradesh",Simrar,,,,23.7225,80.4258,25.6,498.7,12930000.0,12.93,4590000,12360000.0,
Nandanwara Dam,Madhya Pradesh,"Bargi Nadi River, Nivari, Madhya Pradesh",Bargi Nadi,,,,25.0769,78.7583,17.68,250.0,26795000.0,26.795,3196981,23760000.0,
