river_name,n_segments,max_upstream_dams,mean_upstream_dams,max_capacity_mcm,n_drying,n_stable,n_wetting,mean_pct_change,median_pct_change,mean_tau,pct_drying
Kevtan,1,2,2.0,9.33,0,1,0,0.1512769655353484,0.1512769655353484,-0.0586854460093896,0.0
Khaimua,3,0,0.0,0.0,2,1,0,-24.344156855868025,-21.325421733580587,-0.22143974960876367,66.7
Khan,1,0,0.0,0.0,0,1,0,32.18519069363852,32.18519069363852,0.096244131455399,0.0
Khari,23,9,2.869565217391304,188.67,10,12,1,4.025350481921495,16.00924247171786,-0.0830441586718378,43.5
Khoh,1,0,0.0,0.0,1,0,0,-32.87232852082174,-32.87232852082174,-0.3630672926447574,100.0
Khoki,1,1,1.0,2.03,0,1,0,19.12822816249122,19.12822816249122,0.0125195618153364,0.0
Khudar,1,0,0.0,0.0,1,0,0,-19.500583480835644,-19.500583480835644,-0.1854460093896713,100.0
Khul,5,2,1.4,51.25,0,5,0,14.001517734401077,14.644457225871935,0.019561815336463163,0.0
Kiul,4,10,6.5,256.45,0,4,0,-4.662340368005883,-4.672992185250095,-0.0342331768388106,0.0
Koel,9,8,3.888888888888889,335.56,2,7,0,-9.434896748387898,-9.736805364488864,-0.14110589462702133,22.2
Kopra,1,2,2.0,5.07,1,0,0,-8.71149432831258,-8.71149432831258,-0.1838810641627543,100.0
Kosi,33,0,0.0,0.0,4,29,0,-2.7065341642398697,0.0227627442453668,0.0020391710532555543,12.1
Kothari,2,7,4.0,141.46,0,2,0,15.809664547815704,15.809664547815704,0.06768388106416275,0.0
Kuliki,1,0,0.0,0.0,0,1,0,-3.5329473224915016,-3.5329473224915016,0.0023474178403755,0.0
Kunda,1,0,0.0,0.0,0,1,0,-4.951378842028534,-4.951378842028534,-0.069640062597809,0.0
Kuno,4,2,0.75,21.6,0,4,0,0.6721450116170558,1.3679114054924861,-0.0254303599374022,0.0
Kunu,1,3,3.0,4.49,0,1,0,11.83503523717933,11.83503523717933,0.1126760563380281,0.0
Kunwari,6,6,2.6666666666666665,123.05,6,0,0,-31.923549141553988,-31.79156773451719,-0.28351591027647366,100.0
Kurai,2,4,3.5,132.85,2,0,0,-13.847375714471447,-13.847375714471447,-0.2120500782472613,100.0
Kural,1,3,3.0,63.51,0,1,0,-1.5096979773278976,-1.5096979773278976,-0.0399061032863849,0.0
Kuthi Yankti,1,0,0.0,0.0,0,1,0,-1.8013659079103614,-1.8013659079103614,-0.1158059467918622,0.0
Kutni,1,1,1.0,3.5,1,0,0,-18.131505643654243,-18.131505643654243,-0.1713615023474178,100.0
Ladhiya,1,0,0.0,0.0,1,0,0,-16.408369693529004,-16.408369693529004,-0.2339593114241001,100.0
Lakhandei,1,0,0.0,0.0,0,1,0,-5.471002875958606,-5.471002875958606,-0.0070422535211267,0.0
Lakheri,3,3,2.0,163.7,3,0,0,-24.449965348732245,-24.5143140973056,-0.31846635367762127,100.0
Lakundar,2,16,11.5,155.92,0,2,0,-3.121648427060471,-3.121648427060471,-0.0344287949921752,0.0
Lapri,1,0,0.0,0.0,0,1,0,38.1004072325819,38.1004072325819,0.1165884194053208,0.0
Lassar Yankti,1,0,0.0,0.0,0,1,0,6.071322695495067,6.071322695495067,-0.1150234741784037,0.0
Lastar,1,0,0.0,0.0,0,1,0,6.996442097213536,6.996442097213536,0.054773082942097,0.0
Lilajan,2,3,2.0,9.44,0,2,0,-9.848959586234528,-9.848959586234528,-0.08372456964006256,0.0
Lohra,1,0,0.0,0.0,0,1,0,26.940896134235988,26.940896134235988,0.068075117370892,0.0
Londri,1,0,0.0,0.0,0,1,0,-8.851817290632342,-8.851817290632342,-0.0884194053208137,0.0
Machhli,1,1,1.0,12.96,0,1,0,-3.2011521308282513,-3.2011521308282513,-0.0625978090766823,0.0
Madad,3,0,0.0,0.0,0,3,0,-12.054955289767753,-11.72029166463118,-0.06546687532603022,0.0
Madhmaheshwar Ganga,1,0,0.0,0.0,0,1,0,18.64260900221543,18.64260900221543,0.122848200312989,0.0
Mahakali,5,4,1.6,20.86,3,2,0,-15.282392044819847,-5.78670323105705,-0.17699530516431922,60.0
Mahana,3,0,0.0,0.0,0,3,0,22.032461411218335,21.46363050239863,0.11945748565466874,0.0
Mahananda,9,0,0.0,0.0,0,9,0,1.3271775005307214,-1.5303368314985388,-0.005912015301686644,0.0
Mahara,1,0,0.0,0.0,0,1,0,-9.5961429661755,-9.5961429661755,-0.0226917057902973,0.0
Mahuar,4,7,4.25,37.58,4,0,0,-19.148650915022593,-18.287085776604386,-0.18290297339593106,100.0
Maila,1,0,0.0,0.0,0,1,0,-10.093327595887995,-10.093327595887995,-0.082942097026604,0.0
Maleni,3,1,0.6666666666666666,5.83,0,3,0,10.672035275438866,10.111339790691025,0.0735524256651017,0.0
Malin,1,0,0.0,0.0,1,0,0,-18.643169229127153,-18.643169229127153,-0.2895148669796557,100.0
Man,1,0,0.0,0.0,1,0,0,-25.04632325012462,-25.04632325012462,-0.2715179968701095,100.0
Mana,1,0,0.0,0.0,0,1,0,-11.142502009854564,-11.142502009854564,-0.0704225352112676,0.0
Mandakini,3,2,2.0,0.12,0,2,1,20.16396007291742,20.882630807244496,0.15414710485133018,0.0
Mandal,1,0,0.0,0.0,1,0,0,-50.96555422154717,-50.96555422154717,-0.4616588419405321,100.0
Manki,1,1,1.0,2.33,0,1,0,-8.535380785770567,-8.535380785770567,-0.0954616588419405,0.0
Manmaheshwari,1,0,0.0,0.0,1,0,0,-51.628798163451904,-51.628798163451904,-0.4420970266040688,100.0
