seg_id,mean_ssa_1991_2021,river_name,tier,updated_tier,long_term_mean
3293,-0.294403555649124,Yamuna,1,1,215.9370310539906
3385,-0.29293419923677244,Gambhir,4,4,37.44848891408451
4011,-0.29123643185490194,Gomti,2,2,8.232916637441315
5157,-0.29054826133311723,Harohar,3,3,45.84277183685446
3260,-0.2903072635866102,Yamuna,1,1,1.156249513697183
3369,-0.28994901481575547,Parbati,3,3,9.930123650704225
3798,-0.2894561530598164,Ganga,1,1,97.76072389319249
3364,-0.2892676817081398,Parbati,3,3,5.025083359237089
4573,-0.28807558631981417,Gandak,2,2,8135.356976525822
3830,-0.2877801647634712,East Bahgul,5,5,8.655079529107981
5156,-0.28743713478022515,Panchane,4,4,38.26923809272301
5148,-0.2869443265079122,Panchane,4,4,12.839570320422535
4018,-0.28689189225082007,Gomti,2,2,99.72064632159625
4548,-0.2866842725610356,Dardha,4,4,9.362189785798122
5150,-0.2858921480756082,Panchane,4,4,18.851728874178402
3321,-0.2857175205532081,Aglad,5,5,6.8623647396948355
3295,-0.28508250284843867,Yamuna,1,1,7.519482629319248
3819,-0.28404563113270354,Ganga,1,1,1132.8444325704224
4012,-0.28327444281547387,Gomti,2,2,18.94160175774648
3899,-0.28313097502132795,Kali,3,3,13.249337973239436
4398,-0.28262294177896247,Ghaghara,1,1,25.672212652112673
4453,-0.28240905163812424,Aami,5,5,6.365694897816901
3353,-0.2815813555781063,Vaisali,4,4,2.010706395181925
3991,-0.2806250975513191,Sai,3,3,4.278555853309859
4603,-0.2802934772120718,Banki,5,5,4.709963963180751
3317,-0.2800163910509127,Tons,2,2,42.14621310340375
4137,-0.27967579721649155,Lakheri,5,5,4.564843237769953
3382,-0.2791360406992613,Gambhir,4,4,24.990867941666668
4166,-0.27908408648186434,Jamni,4,4,35.661107190492956
3818,-0.2780390753510368,Ganga,1,1,1124.7318741079812
