seg_id,min_year,min_flow_m3s,river_name,tier,updated_tier,long_term_mean,max_year,max_flow_m3s,min_decade
3986,2015,1.254423825,Sai,3,3,6.029420651842723,1955,19.745517375000002,2010
3987,2005,0.9814558666666667,Sai,3,3,6.746883204225353,1980,26.684028075,2000
3988,2015,2.958525058333333,Sai,3,3,15.19771105011737,1955,50.04331522499999,2010
3989,2015,15.300585,Sai,3,3,70.74459340962441,1980,247.42167558333335,2010
3990,2015,16.062612833333333,Sai,3,3,73.59102065786385,1980,258.38519049999996,2010
3991,2005,0.8508761133333334,Sai,3,3,4.278555853309859,1980,14.478933508333334,2000
3992,2005,0.37516620749999996,Sai,3,3,2.4967856505399064,1980,9.677146907500001,2000
3993,2015,19.14386383333333,Sai,3,3,89.26384223122066,1980,304.7290945,2010
3994,2015,2.978491808333333,Kadhu,5,5,15.15072081056338,1955,51.10504716666666,2010
3995,2005,0.5436618283333333,Ganga,1,1,3.141702558908451,2021,11.608330341666665,2000
3996,1998,4.042426666666667,Varuna,4,4,14.972192221713614,1955,38.925862125,1990
3997,2009,8.774220891666667,Varuna,4,4,31.832825244600937,1955,76.82629435833333,2000
3999,2007,2.338055025,Gomti,2,2,8.13171816056338,1980,22.317984033333335,2000
4000,2007,6.157335433333333,Gomti,2,2,20.6218797834507,1955,58.035868375,2000
4001,2007,6.9864216,Gomti,2,2,25.345852470657274,1955,74.81364851666667,2000
4002,1987,43.72457666666667,Gomti,2,2,131.3814910528169,1961,282.90851025,1980
4003,1987,63.470795083333336,Gomti,2,2,164.0958122253521,1971,353.03027174999994,1980
4004,1973,1.7935990166666667,Tamasa,3,3,8.207599196302816,1955,25.759062633333333,1970
4005,2015,2.9620953666666665,Tamasa,3,3,12.754661771126761,1955,42.789083783333325,2010
4006,1993,0.7846348983333334,Sai,3,3,2.6754335180516433,1960,8.740096038333332,1990
4007,1993,0.9034547525000001,Sai,3,3,2.8332781097535213,1960,8.650105525833334,1990
4009,2016,0.5592107566666666,Sai,3,3,2.8922887907511736,1980,11.164486794166669,2010
4011,2015,2.0945710666666666,Gomti,2,2,8.232916637441315,1980,24.689618783333334,2010
4012,1966,5.058871183333333,Gomti,2,2,18.94160175774648,1961,43.33437886666667,1960
4013,1966,5.0251780083333335,Gomti,2,2,19.44550776701878,1961,49.05401429166667,1960
4014,1966,7.377269683333334,Gomti,2,2,25.423379677699533,1971,65.61548645833334,1960
4015,1987,9.72797145,Gomti,2,2,29.707297943309857,1960,69.44019191666666,1980
4016,1966,9.9657529,Gomti,2,2,30.63962192382629,1971,76.526330875,1960
4017,1987,19.854410666666666,Gomti,2,2,62.23408108521127,1960,144.1639675,1980
4018,1987,32.305687666666664,Gomti,2,2,99.72064632159625,1961,225.75116283333332,1980
4019,1987,37.45185566666667,Gomti,2,2,115.38702075234741,1961,258.62876808333334,1980
