seg_id,river_name,tier,n_upstream_dams,total_upstream_capacity_mcm,nearest_upstream_dam,nearest_dam_dist_km,nearest_dam_year,dams_before_1991,dams_after_1991
3947,Ganga,1,1,0.89,Gointha Dam,5.46,1992.0,0,1
3949,Varuna,99,0,0.0,,,,0,0
3950,Tamasa,99,0,0.0,,,,0,0
3952,Tamasa,2,0,0.0,,,,0,0
3953,Tamasa,2,0,0.0,,,,0,0
3954,Tamasa,2,0,0.0,,,,0,0
3955,Tamasa,2,0,0.0,,,,0,0
3956,Sai,99,0,0.0,,,,0,0
3957,Gomti,99,0,0.0,,,,0,0
3958,Gomti,99,0,0.0,,,,0,0
3959,Ganga,1,554,27368.87,Gointha Dam,27.95,1992.0,419,95
3960,Ganga,1,0,0.0,,,,0,0
3961,Ganga,1,554,27368.87,Gointha Dam,36.8,1992.0,419,95
3962,Karmanasa,2,4,489.53,Kohira Dam,62.57,1962.0,3,1
3964,Son,99,8,178.32,Rajban Dam,5.41,1970.0,5,1
3967,Karmanasa,99,2,316.03,Durgawati Dam,14.66,2014.0,1,1
3969,Karmanasa,99,2,316.03,Kohira Dam,23.78,1962.0,1,1
3970,Karmanasa,99,2,173.5,Ahraura Dam,21.3,1954.0,2,0
3971,Karmanasa,99,2,173.5,Chandraprabha Dam,32.82,1968.0,2,0
3972,Ganga,1,553,27367.98,Jirgo Dam,21.24,1958.0,419,94
3973,Belan,99,7,35.66,Lali Dam,8.49,1970.0,5,2
3974,Sai,99,0,0.0,,,,0,0
3975,Sai,99,0,0.0,,,,0,0
3976,Ganga,1,0,0.0,,,,0,0
3977,Sai,99,0,0.0,,,,0,0
3978,Sai,99,0,0.0,,,,0,0
3979,Sai,99,0,0.0,,,,0,0
3980,Kadhu,99,0,0.0,,,,0,0
3981,Sai,99,0,0.0,,,,0,0
3982,Kadhu,99,0,0.0,,,,0,0
3983,Sai,99,0,0.0,,,,0,0
3984,Ganga,1,20,5208.1,Nanak Sagar Dam,374.55,1962.0,12,8
3986,Sai,99,0,0.0,,,,0,0
3987,Sai,99,0,0.0,,,,0,0
3988,Sai,99,0,0.0,,,,0,0
3989,Sai,99,0,0.0,,,,0,0
3990,Sai,99,0,0.0,,,,0,0
3991,Sai,99,0,0.0,,,,0,0
3992,Sai,99,0,0.0,,,,0,0
3993,Sai,99,0,0.0,,,,0,0
3994,Kadhu,99,0,0.0,,,,0,0
3995,Ganga,1,0,0.0,,,,0,0
3996,Varuna,2,0,0.0,,,,0,0
3997,Varuna,2,0,0.0,,,,0,0
3999,Gomti,99,0,0.0,,,,0,0
4000,Gomti,99,0,0.0,,,,0,0
4001,Gomti,99,0,0.0,,,,0,0
4002,Gomti,99,0,0.0,,,,0,0
4003,Gomti,99,0,0.0,,,,0,0
4004,Tamasa,99,0,0.0,,,,0,0
4005,Tamasa,2,0,0.0,,,,0,0
4006,Sai,99,0,0.0,,,,0,0
4007,Sai,99,0,0.0,,,,0,0
4009,Sai,99,0,0.0,,,,0,0
4011,Gomti,99,0,0.0,,,,0,0
4012,Gomti,99,0,0.0,,,,0,0
4013,Gomti,99,0,0.0,,,,0,0
4014,Gomti,99,0,0.0,,,,0,0
4015,Gomti,99,0,0.0,,,,0,0
4016,Gomti,99,0,0.0,,,,0,0
4017,Gomti,99,0,0.0,,,,0,0
4018,Gomti,99,0,0.0,,,,0,0
4019,Gomti,99,0,0.0,,,,0,0
4021,Gomti,99,0,0.0,,,,0,0
4023,Gomti,99,0,0.0,,,,0,0
4025,Ghaghara,99,0,0.0,,,,0,0
4029,Ghaghara,99,0,0.0,,,,0,0
4030,Ghaghara,99,0,0.0,,,,0,0
4031,Ghaghara,99,0,0.0,,,,0,0
4032,Ghaghara,99,5,427.12,Sarda Sagar Dam,186.62,1962.0,1,4
4033,Ghaghara,99,5,427.12,Sarda Sagar Dam,214.63,1962.0,1,4
4034,Ghaghara,99,5,427.12,Sarda Sagar Dam,241.51,1962.0,1,4
4035,Ganga,1,1,0.56,Vijai Pur Dam,7.41,1983.0,1,0
4036,Belan,99,21,726.35,Banjari Kalan Dam,14.46,,17,2
4037,Ganga,1,543,26851.84,Berbeta Dam,15.07,1979.0,410,94
4038,Ganga,1,550,27211.86,Bhonka Dam,14.39,1951.0,416,94
4039,Ganga,1,3,156.12,Jirgo Dam,6.3,1958.0,3,0
4040,Ganga,1,0,0.0,,,,0,0
4041,Varuna,2,0,0.0,,,,0,0
4042,Ganga,1,20,5208.1,Nanak Sagar Dam,423.61,1962.0,12,8
4043,Ganga,1,20,5208.1,Nanak Sagar Dam,438.36,1962.0,12,8
4044,Yamuna,2,473,20725.69,Garhwa Dam,40.05,1975.0,355,82
4045,Ganga,1,493,25933.78,Garhwa Dam,56.52,1975.0,367,90
4046,Gomti,99,0,0.0,,,,0,0
4047,Gomti,99,0,0.0,,,,0,0
4048,Gomti,99,0,0.0,,,,0,0
4049,Gomti,99,0,0.0,,,,0,0
4050,Sharda,99,5,427.12,Sarda Sagar Dam,70.04,1962.0,1,4
4051,Belan,99,5,270.41,Rexahawa Dam,6.19,1990.0,5,0
4053,Belan,99,3,97.16,Adwa Dam,5.95,1978.0,3,0
4054,Belan,99,5,101.29,Sukhra Dam,5.46,1909.0,3,0
4055,Belan,99,15,624.72,Meja Dam,2.56,1987.0,13,2
4056,Gopat,99,24,202.4,Bharra Dam,10.47,1984.0,14,5
4057,Son,99,78,6875.14,Bishanda Dam,21.51,1992.0,63,8
4058,Son,99,104,7080.48,Kargara Dam,29.04,1978.0,79,13
4059,Gorma,99,0,0.0,,,,0,0
4060,Belan,99,0,0.0,,,,0,0
4061,Belan,99,21,726.35,Gularia Dam,26.14,1966.0,17,2
4062,Naina,99,3,7.37,Mauganj Dam,19.13,1972.0,3,0
4063,Naina,99,3,7.37,Mauganj Dam,30.61,1972.0,3,0
4064,Lapri,99,0,0.0,,,,0,0
4065,Belan,99,24,733.72,Mauganj Dam,37.67,1972.0,20,2
4066,Tons,2,24,146.19,Kuari Dam,1.62,1982.0,21,2
4067,Tons,2,48,879.9,Kuari Dam,6.36,1982.0,41,4
4068,Tons,2,49,887.29,Bachara Dam,11.26,1980.0,42,4
4069,Asrawal,99,1,35.43,Tons Barrage(Mpseb) Dam,2.38,,0,0
4070,Satna,99,2,13.01,Virhana Dam,14.98,1972.0,2,0
4071,Tons,99,3,48.44,Tons Barrage(Mpseb) Dam,1.88,,2,0
4072,Tons,99,6,18.62,Govindgarh Dam,31.76,1917.0,5,1
4073,Satna,99,10,51.79,Bankuiya Dam,17.22,1971.0,10,0
4074,Tons,99,15,119.76,Purwa Dam,4.04,1991.0,13,1
4075,Tons,99,21,138.39,Purwa Dam,9.68,1991.0,18,2
4077,Tons,99,6,18.62,Govindgarh Dam,7.1,1917.0,5,1
4078,Son,99,72,6856.83,Amjhari Dam,14.44,1975.0,58,7
4079,Tons,99,1,1.85,Rampur Kalyangarh Dam,20.72,1958.0,1,0
4080,Tons,99,22,140.24,Purwa Dam,24.91,1991.0,19,2
4081,Mahana,99,0,0.0,,,,0,0
4082,Mahana,99,0,0.0,,,,0,0
4083,Mahana,99,0,0.0,,,,0,0
4084,Tons,99,22,140.24,Purwa Dam,42.32,1991.0,19,2
4085,Sokar,99,1,4.75,Loni Dam,13.08,1965.0,1,0
4086,Tons,99,23,144.99,Loni Dam,13.79,1965.0,20,2
4087,Tons,2,0,0.0,,,,0,0
4089,Yamuna,99,0,0.0,,,,0,0
4090,Sasur Khaderi,99,0,0.0,,,,0,0
4091,Yamuna,99,0,0.0,,,,0,0
4092,Sasur Khaderi,99,0,0.0,,,,0,0
4093,Baghain,99,3,17.72,Rasin Dam,21.56,,2,0
4094,Yamuna,99,458,20543.74,Kabrai Dam,94.2,1955.0,342,81
4095,Yamuna,99,458,20543.74,Kabrai Dam,105.78,1955.0,342,81
4096,Yamuna,99,461,20561.46,Rasin Dam,56.53,,344,81
4097,Satna,99,0,0.0,,,,0,0
4098,Satna,99,4,17.55,Gonda Dam,12.9,1979.0,4,0
4099,Gudne,99,2,7.41,Amua Dam,6.18,1975.0,2,0
4100,Satna,99,6,29.65,Patharhatta Dam,5.97,1918.0,6,0
4101,Satna,99,3,20.85,Naktora Dam,11.81,1980.0,3,0
4102,Bhandar,99,2,8.04,Mehroi Dam,7.19,1990.0,2,0
4103,Katni,99,14,67.32,Dhangaon Dam,24.89,,12,0
4104,Son,99,16,75.35,Mehroi Dam,17.14,1990.0,14,0
4105,Son,99,34,224.81,Mungatola Dam,4.37,1994.0,28,3
4108,Betwa,99,2,94.67,Arjun Dam,14.46,1957.0,2,0
4109,Betwa,99,3,294.67,Maudaha Dam,5.84,2003.0,2,1
4110,Betwa,99,3,294.67,Maudaha Dam,27.76,2003.0,2,1
4111,Parwar,99,0,0.0,,,,0,0
4112,Betwa,99,99,4814.88,Keolari Dam,78.7,1966.0,79,12
4113,Betwa,99,102,5109.55,Maudaha Dam,50.25,2003.0,81,13
4114,Shyam,99,0,0.0,,,,0,0
4115,Yamuna,99,387,19867.99,Maudaha Dam,69.47,2003.0,279,74
4116,Yamuna,99,387,19867.99,Maudaha Dam,83.35,2003.0,279,74
4117,Yamuna,99,387,19867.99,Maudaha Dam,84.36,2003.0,279,74
4118,Sengur,99,0,0.0,,,,0,0
