dam_name,dam_lat,dam_lon,state,local_river,capacity_mcm,YearOfCompletion,YearSource,assigned_seg_id,assigned_river,match_method,snap_dist_km
Ghatera Dam,23.5419,78.1111,Madhya Pradesh,Karnari,3.58,1956.0,"NRLD_2019 (score=0.60, method=first_word_match)",4172.0,Bina,tier3_nearest,16.96
Mola Dam,24.3747,77.8775,Madhya Pradesh,Local,13.05,1956.0,"NRLD_2019 (score=0.60, method=first_word_match)",4178.0,Kethan,tier3_nearest,9.88
Kadodia Dam,23.5114,76.1439,Madhya Pradesh,Local,1.105,1957.0,"NRLD_2019 (score=0.60, method=first_word_match)",3594.0,Lakundar,tier3_nearest,8.92
Banda Bedra Dam,23.7453,77.8075,Madhya Pradesh,Local,2.454,1957.0,"NRLD_2019 (score=0.60, method=first_word_match)",4198.0,Baen,tier1_existing,1.037406
Raipura Dam,23.2728,77.1147,Madhya Pradesh,Local,1.307,1930.0,"NRLD_2019 (score=0.60, method=first_word_match)",3585.0,Paru,tier3_nearest,10.98
Sudra Dam,23.2508,77.7286,Madhya Pradesh,Kuhynala,1.646,1958.0,"NRLD_2019 (score=0.60, method=first_word_match)",4194.0,Betwa,tier3_nearest,4.9
Dhamdhusar Dam,23.0322,77.7014,Madhya Pradesh,Charua,2.577,1958.0,"NRLD_2019 (score=0.60, method=first_word_match)",4190.0,Betwa,tier3_nearest,11.51
Dahod Dam,23.0322,77.4875,Madhya Pradesh,Bhoghvi,19.364,1958.0,"NRLD_2019 (score=0.60, method=first_word_match)",4191.0,Ajmar,tier3_nearest,8.99
Jalheridhana Dam,23.6206,79.6631,Madhya Pradesh,Local,1.0,1958.0,"NRLD_2019 (score=0.60, method=first_word_match)",4285.0,Bearma,tier3_nearest,7.76
Pipariya Jugraj Dam,23.6097,79.6653,Madhya Pradesh,Gahira Nalla,0.51,1959.0,"NRLD_2019 (score=0.60, method=first_word_match)",4285.0,Bearma,tier3_nearest,8.27
Moti Nalla Dam,23.8072,79.8228,Madhya Pradesh,Local,2.9,1959.0,"NRLD_2019 (score=0.60, method=first_word_match)",4291.0,Bearma,tier3_nearest,10.84
Jabera Dam,23.5583,79.7161,Madhya Pradesh,Jamunha Nalla,4.05,1959.0,"NRLD_2019 (score=0.60, method=first_word_match)",4285.0,Bearma,tier3_nearest,15.42
Morwan Dam,24.6306,75.0033,Madhya Pradesh,Gameri,16.46,1959.0,"NRLD_2019 (score=0.60, method=first_word_match)",3738.0,Gambhiri,tier3_nearest,18.2
Lilgi Reservoir Dam,24.2619,80.7358,Madhya Pradesh,Lilgi,2.209,1960.0,"NRLD_2019 (score=0.60, method=first_word_match)",4101.0,Satna,tier3_nearest,7.14
Satak Dam,23.0542,75.5383,Madhya Pradesh,Satak,25.61,1961.0,Wikipedia,3658.0,Chambal,tier1_existing,1.730823
Gandhi Sagar Dam,24.0828,75.5533,Madhya Pradesh,Chambal,73.22,1960.0,"NRLD_2019 (score=0.60, method=first_word_match)",3634.0,Chambal,tier2_river_name,2.61
Barrach Dam,24.6208,80.1533,Madhya Pradesh,Local,1.588,1961.0,"NRLD_2019 (score=0.60, method=first_word_match)",4268.0,Mirhasan,tier3_nearest,12.73
Tejgarh Dam,23.6081,79.4056,Madhya Pradesh,Local,6.79,1961.0,"NRLD_2019 (score=0.60, method=first_word_match)",4287.0,Bearma,tier3_nearest,3.33
