dam_name,dam_lat,dam_lon,state,local_river,capacity_mcm,YearOfCompletion,YearSource,assigned_seg_id,assigned_river,match_method,snap_dist_km
Jamuniya Rao Dam,23.6164,77.0208,Madhya Pradesh,Local,0.776,1972.0,"NRLD_2019 (score=0.60, method=first_word_match)",3587.0,Parbati,tier3_nearest,10.83
Bakiya Dam,23.9761,81.9844,Madhya Pradesh,Local,3.718,1972.0,"NRLD_2019 (score=0.60, method=first_word_match)",4330.0,Gopat,tier3_nearest,4.03
Kacheri Feeder Dam,24.4378,79.3083,Madhya Pradesh,Local,1.105,1972.0,"NRLD_2019 (score=0.60, method=first_word_match)",4150.0,Kathan,tier3_nearest,3.98
Virhana Dam,24.6953,81.1506,Madhya Pradesh,Local,3.029,1972.0,"NRLD_2019 (score=0.60, method=first_word_match)",4070.0,Satna,tier1_existing,0.38295
Mauganj Dam,24.6614,81.9178,Madhya Pradesh,Gora Nalla,3.819,1972.0,"NRLD_2019 (score=0.60, method=first_word_match)",4062.0,Naina,tier3_nearest,11.59
Banchor Dam,23.2164,77.7636,Madhya Pradesh,Arialkha,7.644,1964.0,"NRLD_2019 (score=0.60, method=first_word_match)",4194.0,Betwa,tier3_nearest,8.63
Kulgari Dam,24.4769,80.7303,Madhya Pradesh,Durha,9.4,1972.0,"NRLD_2019 (score=0.60, method=first_word_match)",4100.0,Satna,tier3_nearest,9.0
Budwa Dam,24.1839,81.4167,Madhya Pradesh,Local,9.22,1972.0,"NRLD_2019 (score=0.60, method=first_word_match)",4353.0,Banas,tier3_nearest,5.45
Chhapi Dam,24.0108,76.3819,Madhya Pradesh,Chhapi,15.74,2005.0,"NRLD_2019 (score=0.60, method=first_word_match)",3572.0,Chhapi,tier2_river_name,8.58
Chhilar Dam,23.3833,76.3,Madhya Pradesh,Chiller,34.79,1972.0,"NRLD_2019 (score=0.60, method=first_word_match)",3594.0,Lakundar,tier3_nearest,8.89
Dharam Sagar Dam,25.0325,79.1389,Madhya Pradesh,Local,12.09,1972.0,"NRLD_2019 (score=0.60, method=first_word_match)",4131.0,Dhasan,tier3_nearest,3.26
Sarro Dam,24.3656,82.0361,Madhya Pradesh,Dhonnai,2.78,1973.0,"NRLD_2019 (score=0.60, method=first_word_match)",4334.0,Gopat,tier3_nearest,6.42
Akhajhiri Dam,25.0344,77.8911,Madhya Pradesh,Akhajhiri Nalla,11.71,1973.0,"NRLD_2019 (score=0.60, method=first_word_match)",3488.0,Aerma,tier3_nearest,13.29
Koncha Dam,24.3333,77.8544,Madhya Pradesh,Koncha,21.65,1973.0,"NRLD_2019 (score=0.60, method=first_word_match)",4178.0,Kethan,tier3_nearest,11.34
Bila Dam,24.2608,79.0283,Madhya Pradesh,Bilasi,55.7,1973.0,"NRLD_2019 (score=0.60, method=first_word_match)",4148.0,Dhasan,tier3_nearest,10.65
Rajendra Sagar Dam,24.6439,78.8614,Madhya Pradesh,Local,18.46,1973.0,"NRLD_2019 (score=0.60, method=first_word_match)",4162.0,Jamni,tier3_nearest,7.09
Pondi Dam,24.2853,82.0,Madhya Pradesh,Local,2.583,1974.0,"NRLD_2019 (score=0.60, method=first_word_match)",4334.0,Gopat,tier3_nearest,3.35
Burlai Dam,23.6544,76.2628,Madhya Pradesh,Local,2.86,1974.0,"NRLD_2019 (score=0.60, method=first_word_match)",3595.0,Lakundar,tier3_nearest,4.06
Madhwani (Ncfl) Dam,24.2314,81.3178,Madhya Pradesh,Local,3.144,1974.0,"NRLD_2019 (score=0.60, method=first_word_match)",4375.0,Son,tier3_nearest,4.52
Belha Dam,24.1806,81.6617,Madhya Pradesh,Local,36.51,1974.0,"NRLD_2019 (score=0.60, method=first_word_match)",4354.0,Banas,tier3_nearest,3.78
Beniganj Dam,24.7622,79.8786,Madhya Pradesh,Beni,27.58,1974.0,"NRLD_2019 (score=0.60, method=first_word_match)",4277.0,Ken,tier3_nearest,7.38
Bandri Dam,24.0317,78.6181,Madhya Pradesh,Local,,1974.0,"NRLD_2019 (score=0.60, method=first_word_match)",4143.0,Dhasan,tier3_nearest,5.98
Kankarpura Dam,22.5736,75.7275,Madhya Pradesh,Local,0.623,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",3655.0,Gambhir,tier3_nearest,10.26
Barodia Dam,23.6531,77.0444,Madhya Pradesh,Local,6.223,1961.0,"NRLD_2019 (score=0.60, method=first_word_match)",3587.0,Parbati,tier3_nearest,9.21
Nibuha Dam,24.3625,82.0789,Madhya Pradesh,Local,1.789,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",4334.0,Gopat,tier3_nearest,3.4
Fatehpur Dam,24.0361,76.4764,Madhya Pradesh,Local,0.808,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",3572.0,Chhapi,tier3_nearest,9.39
Amua Dam,24.3392,80.3322,Madhya Pradesh,Local,1.121,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",4099.0,Gudne,tier3_nearest,2.38
Bisonia Dam,24.2708,77.7256,Madhya Pradesh,Jwari Nadi,2.094,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",4178.0,Kethan,tier3_nearest,11.8
Bamraha Dam,24.0078,81.9303,Madhya Pradesh,Local,4.199,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",4331.0,Gopat,tier1_existing,0.0
Karmodia Dam,23.2778,77.7906,Madhya Pradesh,Barna,5.288,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",4194.0,Betwa,tier3_nearest,9.38
Atari Dam,24.6281,81.9344,Madhya Pradesh,Gora Nalla,2.265,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",4062.0,Naina,tier3_nearest,14.99
Bagha Nalla Dam,24.6419,79.4611,Madhya Pradesh,Local,2.323,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",4155.0,Shyamri,tier3_nearest,10.27
Amjhari Dam,24.2425,81.6475,Madhya Pradesh,Local,1.345,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",4354.0,Banas,tier3_nearest,4.05
Devendra Sagar Dam,24.6375,80.36,Madhya Pradesh,Sukta Nalla,12.85,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",4098.0,Satna,tier3_nearest,11.84
Kethan Dam,24.095,77.6664,Madhya Pradesh,Kethan,19.157,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",4178.0,Kethan,tier3_nearest,14.42
S. Ashok Sagar Dam,23.5017,77.5511,Madhya Pradesh,Halali,25.27,,Not found,4192.0,Halali,tier1_existing,0.047064
Hatupur Dam,24.7864,80.4367,Madhya Pradesh,Local,1.24,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",4249.0,Baghain,tier3_nearest,9.59
Jamunhai Dam,24.6814,80.3058,Madhya Pradesh,Local,0.897,1975.0,"NRLD_2019 (score=0.60, method=first_word_match)",4268.0,Mirhasan,tier3_nearest,16.78
Asrar Dam,23.9917,80.2542,Madhya Pradesh,Local,0.696,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",4299.0,Ken,tier3_nearest,6.53
Deopur Dam,24.1511,77.6161,Madhya Pradesh,Local,0.943,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",3344.0,Sindh,tier3_nearest,13.07
Ratheli Dam,23.5039,80.9256,Madhya Pradesh,Local,0.95,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",4371.0,Ghodchhatra,tier3_nearest,10.88
Barkhedi Dam,23.1564,77.1239,Madhya Pradesh,Sewan,1.25,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",3790.0,Ajnal,tier3_nearest,18.98
Chiraha Dam,24.2711,80.1997,Madhya Pradesh,Local,1.245,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",4301.0,Patne,tier3_nearest,4.24
Sapahi Dam,24.4097,82.0492,Madhya Pradesh,Local,2.2,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",4334.0,Gopat,tier3_nearest,8.92
Chita Nalla Dam,25.1267,78.9042,Madhya Pradesh,Local,1.033,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",4128.0,Kurai,tier3_nearest,15.33
Dhantoli Dam,22.7044,75.6556,Madhya Pradesh,Local,2.41,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",3655.0,Gambhir,tier3_nearest,6.55
Mau Dam,24.0592,81.3789,Madhya Pradesh,Local,2.089,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",4374.0,Son,tier3_nearest,8.26
Latar Dam,23.1444,81.9125,Madhya Pradesh,Magrani,3.08,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",2480.0,Kevai,tier3_nearest,2.97
Kishanpura Dam,22.6714,75.6503,Madhya Pradesh,Nulukhi Nala,2.493,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",3655.0,Gambhir,tier3_nearest,7.12
Ashok Nagar (Tulsi Sarovar) Dam,24.5833,77.7408,Madhya Pradesh,Local,1.593,,Not found,4188.0,Urvashi,tier3_nearest,9.67
Kerwan Dam,23.165,77.3711,Madhya Pradesh,Kerwan,25.026,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",4191.0,Ajmar,tier3_nearest,4.27
Simariya No.1 Dam,25.9911,77.9958,Madhya Pradesh,Jamdiaro Nala,4.308,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",3476.0,Non,tier3_nearest,7.44
Ragura Dam,24.7422,78.8147,Madhya Pradesh,Local,2.84,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",4165.0,Jamni,tier3_nearest,4.39
Nagda Dam,22.9083,76.0583,Madhya Pradesh,Shipra,2.586,1964.0,"NRLD_2019 (score=0.60, method=first_word_match)",3654.0,Ashamati,tier3_nearest,6.91
Khitoli Dam,23.7025,80.8403,Madhya Pradesh,Local,1.6,1977.0,"NRLD_2019 (score=0.60, method=first_word_match)",4369.0,Katni,tier3_nearest,3.29
Rampa Dam,23.9669,82.5017,Madhya Pradesh,Local,1.028,1977.0,"NRLD_2019 (score=0.60, method=first_word_match)",4336.0,Mayar,tier1_existing,2.077698
Pondi Dam,23.8286,79.6654,Madhya Pradesh,Local,3.62,1974.0,"NRLD_2019 (score=0.60, method=first_word_match)",4290.0,Bearma,tier1_existing,0.001887
Karhi Dam,24.2681,80.23,Madhya Pradesh,Kurali Nala,4.76,1977.0,"NRLD_2019 (score=0.60, method=first_word_match)",4301.0,Patne,tier3_nearest,7.14
Somla Dam,23.7831,78.6892,Madhya Pradesh,Local,1.63,1977.0,"NRLD_2019 (score=0.60, method=first_word_match)",4147.0,Bewas,tier3_nearest,8.83
Datia Dam,23.9339,79.6397,Madhya Pradesh,Kakli Nala,2.7,1977.0,"NRLD_2019 (score=0.60, method=first_word_match)",4290.0,Bearma,tier3_nearest,6.33
Umargarh Dam,24.0242,81.1642,Madhya Pradesh,Local,0.9,1978.0,"NRLD_2019 (score=0.60, method=first_word_match)",4105.0,Son,tier3_nearest,6.86
Hirawar Dam,24.0564,81.0942,Madhya Pradesh,Local,1.06,1978.0,"NRLD_2019 (score=0.60, method=first_word_match)",4375.0,Son,tier3_nearest,6.59
Kheria Punawali Dam,25.4389,78.2681,Madhya Pradesh,Bahora Nala,1.8,1913.0,"NRLD_2019 (score=0.60, method=first_word_match)",3471.0,Bilrai,tier3_nearest,10.66
Bardha Dam,23.8506,77.6061,Madhya Pradesh,Local,3.01,1930.0,"NRLD_2019 (score=0.60, method=first_word_match)",4199.0,Sagar,tier3_nearest,7.7
Johila Dam,22.7806,81.7408,Madhya Pradesh,Johila,8.53,1978.0,"NRLD_2019 (score=0.60, method=first_word_match)",4372.0,Johilla,tier3_nearest,20.8
Amrabad Dam,23.3036,77.8858,Madhya Pradesh,Local,2.65,1978.0,"NRLD_2019 (score=0.60, method=first_word_match)",4196.0,Betwa,tier3_nearest,13.08
Mansurwari Dam,23.4214,78.9731,Madhya Pradesh,Sukchain Nalla,13.28,1978.0,"NRLD_2019 (score=0.60, method=first_word_match)",4125.0,Sonar,tier3_nearest,8.91
Bhaisawar Dam,24.8164,80.7056,Madhya Pradesh,Khatiari,9.98,1978.0,"NRLD_2019 (score=0.60, method=first_word_match)",4070.0,Satna,tier3_nearest,18.24
Kazikhedi Dam,23.4925,75.6889,Madhya Pradesh,Kharkhara,7.547,1978.0,"NRLD_2019 (score=0.60, method=first_word_match)",3631.0,Shipra,tier3_nearest,4.21
Imalia Dam,23.9925,80.1875,Madhya Pradesh,Local,0.616,1979.0,"NRLD_2019 (score=0.60, method=first_word_match)",4301.0,Patne,tier3_nearest,8.88
Chitron Dam,23.7319,81.4975,Madhya Pradesh,Local,1.11,1979.0,"NRLD_2019 (score=0.60, method=first_word_match)",4347.0,Banas,tier3_nearest,6.62
Chikhali Dam,22.9492,77.5917,Madhya Pradesh,Local,1.682,,Not found,4190.0,Betwa,tier3_nearest,8.53
Sher Dam,24.1642,81.82,Madhya Pradesh,Local,3.27,1979.0,"NRLD_2019 (score=0.60, method=first_word_match)",4332.0,Gopat,tier3_nearest,6.9
Gyaraspura Dam,23.4342,77.1733,Madhya Pradesh,Local,3.164,1979.0,"NRLD_2019 (score=0.60, method=first_word_match)",3587.0,Parbati,tier3_nearest,10.27
Hedapura Dam,23.755,77.1211,Madhya Pradesh,Local,2.134,1979.0,"NRLD_2019 (score=0.60, method=first_word_match)",3587.0,Parbati,tier3_nearest,7.14
Basni Dam,23.7628,79.3575,Madhya Pradesh,Local,0.857,1979.0,"NRLD_2019 (score=0.60, method=first_word_match)",4296.0,Kopra,tier3_nearest,3.5
Putliwar Dam,25.1508,78.1725,Madhya Pradesh,Pihutiwar Nadi,5.25,1979.0,"NRLD_2019 (score=0.60, method=first_word_match)",3478.0,Betwa,tier3_nearest,7.56
Gonda Dam,24.7528,80.5136,Madhya Pradesh,Local,0.48,1979.0,"NRLD_2019 (score=0.60, method=first_word_match)",4098.0,Satna,tier3_nearest,11.76
Bhaisakhedi Dam,23.41,75.9469,Madhya Pradesh,Kalisindh,7.56,1979.0,"NRLD_2019 (score=0.60, method=first_word_match)",3605.0,Chhoti Kali Sindh,tier3_nearest,3.23
Kanchan Dam,24.1547,82.4531,Madhya Pradesh,Kancham,,1979.0,"NRLD_2019 (score=0.60, method=first_word_match)",4335.0,Gopat,tier3_nearest,16.22
Chhapani Dam,22.8828,81.5978,Madhya Pradesh,Local,0.495,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",4372.0,Johilla,tier3_nearest,5.54
Gadaghat Dam,23.8075,79.8225,Madhya Pradesh,Local,0.71,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",4291.0,Bearma,tier3_nearest,10.8
Buchki Dam,23.5075,81.1639,Madhya Pradesh,Local,0.96,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",4373.0,Johilla,tier1_existing,0.61938
Ambabarod Dam,23.8397,75.4461,Madhya Pradesh,Local,1.017,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",3652.0,Chambal,tier3_nearest,6.06
Moliyakhedi Dam,23.9164,76.25,Madhya Pradesh,Local,0.565,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",3595.0,Lakundar,tier1_existing,0.936618
Sidoli Dam,23.1872,81.7131,Madhya Pradesh,Local,4.825,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",4380.0,Son,tier3_nearest,4.24
Katkiya Dam,22.8822,75.6908,Madhya Pradesh,Local,0.567,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",3655.0,Gambhir,tier1_existing,0.086358
Gopaldas Dam,24.3939,81.8706,Madhya Pradesh,Local,1.646,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",4057.0,Son,tier3_nearest,7.07
Koyalkhedi Dam,23.4489,75.9194,Madhya Pradesh,Local,2.675,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",3605.0,Chhoti Kali Sindh,tier3_nearest,3.92
Naktora Dam,24.3272,80.7081,Madhya Pradesh,Amra,3.495,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",4101.0,Satna,tier3_nearest,8.83
Chapper Dam,22.9897,76.8019,Madhya Pradesh,Local,3.794,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",3788.0,Papras,tier3_nearest,6.92
Naharkheda Dam,23.9097,76.0564,Madhya Pradesh,Local,1.694,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",3600.0,Ahu,tier3_nearest,7.81
Pipliyakumar Dam,23.7211,76.1031,Madhya Pradesh,Ban Ganga,11.21,1978.0,"NRLD_2019 (score=0.60, method=first_word_match)",3595.0,Lakundar,tier3_nearest,10.55
Amiya Bahadurpur Dam,23.6528,75.6914,Madhya Pradesh,Gandhi,25.23,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",3631.0,Shipra,tier3_nearest,7.05
Makroda Dam,24.7267,77.2722,Madhya Pradesh,Negri,46.593,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",3340.0,Parbati,tier3_nearest,8.22
Paronch Dam,25.2694,78.1008,Madhya Pradesh,Paronch,18.98,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",3472.0,Mahuar,tier3_nearest,7.75
Dudiyankhera Dam,24.3353,79.0836,Madhya Pradesh,Local,2.6,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",4151.0,Kathan,tier3_nearest,6.07
Chidua Dam,24.7794,80.5933,Madhya Pradesh,Local,1.45,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",4098.0,Satna,tier3_nearest,14.35
Kalrewa Dam,23.8036,79.4875,Madhya Pradesh,Local,1.36,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",4289.0,Bearma,tier3_nearest,11.67
Deopur Dam,24.0444,76.4722,Madhya Pradesh,Local,0.92,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",3572.0,Chhapi,tier3_nearest,8.52
Pongri Dam,23.3169,81.4308,Madhya Pradesh,Local,0.906,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",4383.0,Son,tier3_nearest,4.39
Amanpura Dam,24.0578,76.4794,Madhya Pradesh,Local,1.001,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",3572.0,Chhapi,tier3_nearest,8.49
Chithara Dam,24.8761,80.8544,Madhya Pradesh,Local,1.462,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",4247.0,Paisuni,tier3_nearest,11.76
Harithone Dam,24.9822,78.0022,Madhya Pradesh,Local,1.0,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",4156.0,Urvashi,tier3_nearest,17.01
Parshukhedi Dam,23.7114,76.0378,Madhya Pradesh,Local,1.37,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",3595.0,Lakundar,tier3_nearest,17.01
Ichhawar Dam,23.0033,77.0194,Madhya Pradesh,Ajnal,2.09,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",3790.0,Ajnal,tier3_nearest,14.38
Marhi Dam,24.3322,82.3586,Madhya Pradesh,Semra Nadi,14.243,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",4335.0,Gopat,tier3_nearest,7.9
Belhara Dam,23.4672,79.5078,Madhya Pradesh,Mod Nadi,3.5,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",4285.0,Bearma,tier1_existing,2.004771
Jamunia Dam,23.7517,79.4089,Madhya Pradesh,Modar Nala,4.21,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",4296.0,Kopra,tier3_nearest,8.45
Sahibkhedi Dam,23.2478,75.8264,Madhya Pradesh,Surasa,12.46,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",3656.0,Shipra,tier3_nearest,4.32
Jarmora Dam,24.8686,81.1681,Madhya Pradesh,Jarmora Nalla,18.77,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",4074.0,Tons,tier3_nearest,12.8
Naren Dam,24.0228,77.7561,Madhya Pradesh,Naren,18.82,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",4199.0,Sagar,tier3_nearest,14.82
Bhawanipur Dam,24.8383,80.5778,Madhya Pradesh,Chipaha Nadi,0.25,1981.0,"NRLD_2019 (score=0.60, method=first_word_match)",4249.0,Baghain,tier3_nearest,9.55
Amlabardia Dam,23.8661,75.9019,Madhya Pradesh,Local,0.441,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",3600.0,Ahu,tier3_nearest,11.94
Amkoi Dam,24.4428,80.4992,Madhya Pradesh,Murgwa Nalla,6.29,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",4099.0,Gudne,tier3_nearest,7.49
Kuari Dam,25.0344,81.7275,Madhya Pradesh,Local,1.198,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",4066.0,Tons,tier1_existing,0.12198899999999999
Semarwar Dam,24.065,81.8156,Madhya Pradesh,Paniha,0.779,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",4332.0,Gopat,tier3_nearest,9.27
Sawsara Dam,24.0828,76.9178,Madhya Pradesh,Local,1.226,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",3589.0,Ghora Pachhar,tier1_existing,1.4652
Malavar Dam,23.8353,77.0589,Madhya Pradesh,Local,1.081,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",3583.0,Dudhi,tier3_nearest,12.02
Deori Dam,23.9956,76.4997,Madhya Pradesh,Local,1.109,1978.0,"NRLD_2019 (score=0.60, method=first_word_match)",3571.0,Ghar Ganga,tier3_nearest,8.88
Charkhari Dam,24.0642,81.4014,Madhya Pradesh,Shadol,1.4,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",4352.0,Banas,tier3_nearest,8.26
Surkhi Dam,23.6375,78.8075,Madhya Pradesh,Local,3.83,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",4124.0,Dehar,tier3_nearest,7.77
Kudri Dam,23.6722,81.5803,Madhya Pradesh,Local,1.7,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",4347.0,Banas,tier3_nearest,10.17
Dhabla Dewan Dam,24.1367,75.7069,Madhya Pradesh,Local,2.66,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",3604.0,Ahu,tier3_nearest,10.62
Machhariya Dam,23.4231,78.2781,Madhya Pradesh,Natyan Nalla,3.27,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",4172.0,Bina,tier3_nearest,5.2
Devikheda Dam,23.4119,76.1422,Madhya Pradesh,Local,6.45,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",3594.0,Lakundar,tier3_nearest,7.09
Kuda Dam,25.4997,77.3733,Madhya Pradesh,Local,2.33,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",3347.0,Manki,tier3_nearest,8.95
Matuwa Dam,24.6817,80.3061,Madhya Pradesh,Local,1.72,1982.0,"NRLD_2019 (score=0.60, method=first_word_match)",4268.0,Mirhasan,tier3_nearest,16.82
Nando Dam,23.9453,82.4511,Madhya Pradesh,Local,0.8,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",4336.0,Mayar,tier3_nearest,7.13
Tikara Dam,23.0967,81.1342,Madhya Pradesh,Masandhar,0.889,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",4372.0,Johilla,tier3_nearest,6.95
Balua Dam,24.0533,82.4739,Madhya Pradesh,Local,1.19,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",4336.0,Mayar,tier3_nearest,7.76
Padrai Dam,23.7075,79.5022,Madhya Pradesh,Local,1.024,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",4287.0,Bearma,tier3_nearest,3.1
Bagan Dam,22.98,81.6125,Madhya Pradesh,Bagan,0.917,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",4372.0,Johilla,tier3_nearest,3.98
Godhanpattan Dam,22.8647,81.8172,Madhya Pradesh,Local,1.24,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",4378.0,Tipan,tier3_nearest,12.84
Akhetpur Dam,24.0475,81.4517,Madhya Pradesh,Local,1.571,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",4352.0,Banas,tier3_nearest,3.1
Bahniakhedi Dam,23.3672,76.8444,Madhya Pradesh,Berawari,1.226,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",3581.0,Newaj,tier3_nearest,13.61
Kumharwara Dam,23.8142,80.1925,Madhya Pradesh,Local,0.653,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",4300.0,Katni,tier3_nearest,8.03
Lakhnoute Dam,23.6842,81.4778,Madhya Pradesh,Local,1.47,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",4349.0,Son,tier3_nearest,8.24
Barkhedi Siloki Dam,23.8428,76.1286,Madhya Pradesh,Local,3.742,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",3595.0,Lakundar,tier3_nearest,9.53
Doraha Dam,23.3967,77.1869,Madhya Pradesh,Utawali,18.06,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",3585.0,Paru,tier3_nearest,10.98
Khameri Bagsari Dam,23.845,79.7839,Madhya Pradesh,Local,1.48,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",4291.0,Bearma,tier3_nearest,6.03
Karmai Dam,24.1386,81.3411,Madhya Pradesh,Local,1.408,1983.0,"NRLD_2019 (score=0.60, method=first_word_match)",4374.0,Son,tier1_existing,1.003773
Khaikheda Dam,23.4567,77.1864,Madhya Pradesh,Local,0.736,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",3587.0,Parbati,tier3_nearest,9.89
Shukhar Dam,24.6378,82.4461,Madhya Pradesh,Local,2.099,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",3973.0,Belan,tier3_nearest,8.67
Motipura Dam,23.34,75.7431,Madhya Pradesh,Local,0.85,1999.0,"NRLD_2019 (score=0.60, method=first_word_match)",3656.0,Shipra,tier3_nearest,3.39
Dunguna Dam,25.4586,78.0844,Madhya Pradesh,Narhikhar Nala,2.35,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",3472.0,Mahuar,tier3_nearest,4.47
Lapti Dam,22.8458,81.7553,Madhya Pradesh,Local,1.508,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",4372.0,Johilla,tier3_nearest,16.89
Tildha Dam,24.1728,81.7314,Madhya Pradesh,Local,1.146,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",4354.0,Banas,tier3_nearest,10.18
Harratola Dam,22.9369,81.5656,Madhya Pradesh,Butti,1.42,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",4372.0,Johilla,tier3_nearest,2.58
Longerpura Dam,23.5972,77.5364,Madhya Pradesh,Local,1.316,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",4192.0,Halali,tier3_nearest,10.53
Guradia Roopchand Dam,22.9603,76.5683,Madhya Pradesh,Local,1.725,1997.0,"NRLD_2019 (score=0.60, method=first_word_match)",3789.0,Parbati,tier3_nearest,10.46
Moondla Dam,22.9369,76.9378,Madhya Pradesh,Local,1.727,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",3790.0,Ajnal,tier3_nearest,18.79
Garra Dam,23.9708,82.5922,Madhya Pradesh,Local,1.689,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",4336.0,Mayar,tier3_nearest,5.01
Hirapur Dam,23.6153,78.7828,Madhya Pradesh,Dehar Nadi,1.588,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",4124.0,Dehar,tier2_river_name,8.1
Bharra Dam,24.3847,82.2628,Madhya Pradesh,Local,6.21,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",4335.0,Gopat,tier1_existing,1.134864
Sukha Nalla Dam,24.7992,77.2806,Madhya Pradesh,Local,2.582,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",3340.0,Parbati,tier3_nearest,7.88
