seg_id,early_dry_mean,late_dry_mean,abs_change_m3s,pct_change,river_name,tier,updated_tier,long_term_mean,dry_mk_trend,dry_mk_p_value,dry_sens_slope_pct_yr
3334,201.1575046875,207.46081306451615,6.303308377016151,3.133518874579597,Chambal,2,2,837.7891443392018,no trend,0.5714931653398074,-0.059607280952197944
3574,18.425759468749998,19.006700282258066,0.580940813508068,3.1528730986277167,Kali Sindh,3,3,80.17959448122066,no trend,0.9604122199612644,-0.0036058420015780976
3585,1.3215556291875,1.3633049755645161,0.04174934637701622,3.1591062422914393,Paru,5,5,6.715981351361502,no trend,0.8503922744984573,0.02538597164028171
4490,64.94106921875,67.01206093548387,2.0709917167338716,3.1890323668029907,Gandak,2,2,329.7532961584507,no trend,0.28813727672926714,0.15741373437401318
3632,15.535765765625001,16.031881463709677,0.4961156980846759,3.1933778197300033,Shipra,4,4,62.73289476725352,no trend,0.803993983918406,-0.04589629135190061
2957,11.171321635625,11.536088319354839,0.36476668372983845,3.265206173695767,Gumani,4,4,34.01820360680751,no trend,0.7432144452145957,0.028675228619022608
3747,154.02794106875,159.14999470967743,5.122053640927419,3.3254055110956795,Chambal,2,2,627.7995466713614,no trend,0.7432144452145957,-0.04489721552260862
3600,2.40453836125,2.485762122580645,0.0812237613306448,3.3779357667814702,Ahu,4,4,10.891695215798123,no trend,0.9762410903191197,0.004646054689438367
3738,1.5775878436875002,1.6310315462096774,0.05344370252217723,3.387684732487311,Gambhiri,4,4,4.181414568380282,no trend,0.7582763349793675,-0.0601971422601186
3703,0.6211855123125,0.6423561281451612,0.02117061583266122,3.4080987745269424,Banas,3,3,2.3211312381338027,no trend,0.9920793227943283,-0.010570153073379378
3851,7.053341446875,7.294934423387097,0.24159297651209766,3.425227295910026,Baur,4,4,30.832856528521127,no trend,0.6337121751995711,0.08633471715101232
2928,2.832346765625,2.9296264387096773,0.09727967308467722,3.4345961541616177,Padma,1,1,12.138271968309859,no trend,0.3257065131987469,0.07531560962263209
4183,48.327274325000005,49.98976064516129,1.6624863201612854,3.4400581108321906,Betwa,2,2,245.37144111619716,no trend,0.7357197884219144,-0.029641915705142387
3787,151.65380229375,156.8919409516129,5.238138657862891,3.454010765728599,Chambal,2,2,618.7901758955398,no trend,0.7582763349793675,-0.04777215190472515
