seg_id,trend,p_value,tau,sens_slope_m3s_yr,intercept,long_term_mean_m3s,norm_slope_pct_yr,total_change_pct,river_name,tier,updated_tier
5146,no trend,0.38954613981986475,-0.06964006259780908,-0.015201585356793716,7.332172688499511,7.82730147070707,-0.1942123401492098,-13.983288490743105,Panchane,4,4
4589,no trend,0.3842112081012248,-0.07042253521126761,-0.046949656328085995,24.9187687951016,24.274980421864477,-0.19340759709037061,-13.925346990506684,Auranga,4,4
5167,no trend,0.3949258884499005,-0.06885758998435054,-0.01697387220760225,8.86265726336988,8.784231402830386,-0.19323115966791427,-13.912643496089828,Harohar,3,3
1549,no trend,0.15434651244363784,-0.11502347417840375,-0.16058685676129486,87.96540495669264,83.21136879266625,-0.1929866784927206,-13.895040851475883,Punarbhaba,4,4
4560,no trend,0.3789212200049066,-0.07120500782472614,-0.07728131405141832,42.01829460715868,40.690172545812295,-0.1899262382444035,-13.674689153597052,Punpun,3,3
4889,no trend,0.41133262486980504,-0.06651017214397496,-0.014061855050505022,7.181756504292929,7.419575741351009,-0.18952370783325326,-13.645706963994234,Kosi,2,2
4460,no trend,0.35314920453786036,-0.07511737089201878,-0.152618585260617,87.42954206841856,80.56744087755683,-0.1894296053073854,-13.638931582131748,Rapti,2,2
3742,no trend,0.5894740020112736,-0.04381846635367762,-0.00415055285238095,2.0142361475095236,2.196918706907618,-0.18892610087622524,-13.602679263088218,Sukni,5,5
3408,no trend,0.4869560812360789,-0.056338028169014086,-0.05114043799019598,23.82185998198529,27.14478386769781,-0.18839876655291002,-13.564711191809522,Morel,4,4
4845,no trend,0.05993076455193247,-0.15179968701095461,-0.06400161017628195,36.368922782091346,34.06881856927609,-0.18785978752430182,-13.525904701749731,Dahuk,5,5
3591,no trend,0.5961979541459173,-0.04303599374021909,-0.16379246563098154,87.06655548823318,87.24614203156565,-0.18773605550572245,-13.516995996412016,Parvan,4,4
5147,no trend,0.43382633879160837,-0.06338028169014084,-0.016074812672480628,8.241272041539728,8.606351593529041,-0.18677847979818749,-13.4480505454695,Paimar,5,5
4551,no trend,0.4869560812360789,-0.056338028169014086,-0.01987297679924239,11.297901680539772,10.708114650747055,-0.1855880091632746,-13.362336659755771,Dharmauti,5,5
4844,no trend,0.0776255173837277,-0.14241001564945227,-0.04594138118648339,26.93338539462016,24.917500609680133,-0.18437395429875394,-13.274924709510284,Mechi,4,4
3782,no trend,0.5179259057262735,-0.05242566510172144,-0.003647483086007132,1.9490165045532533,1.9820666243602691,-0.18402424223173589,-13.249745440684984,Manoli,5,5
4172,no trend,0.468865731616952,-0.05868544600938967,-0.020748935111968278,11.434339842308207,11.275701039036196,-0.18401459066834056,-13.24905052812052,Bina,4,4
1429,decreasing,0.03204811659075668,-0.1729264475743349,-49.75678315750211,28691.56229792466,27143.802708249157,-0.18330807843066418,-13.198181647007821,Padma,1,1
4540,no trend,0.468865731616952,-0.05868544600938967,-0.008389455437158473,4.618155684685792,4.5937867676020625,-0.1826261396442163,-13.149082054383575,Punpun,3,3
1497,decreasing,0.03204811659075668,-0.1729264475743349,-49.27084367753627,28648.390467219207,27111.781378556396,-0.1817322255206226,-13.084720237484827,Padma,1,1
4378,no trend,0.30046084574552445,-0.0837245696400626,-0.02567348097222214,14.756725466180551,14.181485446569866,-0.18103520303955106,-13.034534618847676,Tipan,5,5
1445,decreasing,0.03204811659075668,-0.1729264475743349,-48.78308393464057,28582.67800467974,27049.900430650257,-0.18034478189562736,-12.98482429648517,Padma,1,1
1527,decreasing,0.03204811659075668,-0.1729264475743349,-48.66480808558576,28538.513149538296,27000.56442471591,-0.18023626217620373,-12.977010876686668,Padma,1,1
3743,no trend,0.6511998403435748,-0.036776212832550864,-0.008405482302631669,4.109358530493425,4.677835345559765,-0.17968743407375834,-12.937495253310601,Khari,3,3
5171,no trend,0.35314920453786036,-0.07511737089201878,-0.007021938519005825,3.7961928507580405,3.9119183394065655,-0.17950115288119858,-12.924083007446297,Jam,5,5
4180,no trend,0.4629192952859549,-0.0594679186228482,-0.008982503873326296,4.82522458791975,5.028320200517676,-0.17863826317984938,-12.861954948949155,Naren,5,5
5161,no trend,0.4395589046351571,-0.06259780907668232,-0.2921660949410947,161.40181753707554,164.24653895759678,-0.17788264933638734,-12.807550752219889,Harohar,3,3
4202,no trend,0.40581928169739556,-0.06729264475743349,-0.007150568276084006,4.160546974634316,4.021169797269571,-0.1778230872254969,-12.803262280235776,Jalkur,4,4
3653,no trend,0.42813722853210345,-0.06416275430359937,-0.017207190546085795,8.888680226886047,9.696180618318603,-0.17746359338208845,-12.777378723510369,Kanh,5,5
4554,no trend,0.47485419172648413,-0.057902973395931145,-0.02606515853026537,15.352256231991088,14.69008523476431,-0.17743367797881648,-12.775224814474786,Madad,5,5
4826,no trend,0.09163167164945318,-0.13615023474178403,-0.23891568423864157,145.73980566547175,135.44804611037458,-0.17638916994339865,-12.700020235924702,Kankai,4,4
4177,no trend,0.468865731616952,-0.05868544600938967,-0.3847662566666671,210.878996695,218.63952436153198,-0.17598202236775623,-12.670705610478448,Betwa,2,2
3486,no trend,0.5827852327137752,-0.04460093896713615,-0.0062875471944444355,3.8152363387361112,3.5980313919602276,-0.17474964805737686,-12.581974660131134,Indar,5,5
