seg_id,river_name,tier,spei_cell_lat,spei_cell_lon,spei_data_available,spei12_annual_mean,spei12_early_mean,spei12_late_mean,spei12_pct_change_proxy,spei12_mk_trend,spei12_mk_p,spei12_mk_tau,spei12_sens_slope,spei_category
3586,Parbati,99,23.325,76.975,True,-0.031,0.0472,-0.132,-0.1792,no trend,0.3987716292538952,-0.0688,-0.00381,SPEI Stable
3587,Parbati,99,23.725,77.175,True,-0.1039,-0.1116,-0.0939,0.0177,no trend,0.8193920555171392,-0.0189,-0.000906,SPEI Stable
3588,Ghora Pachhar,99,24.075,76.775,True,-0.0617,-0.0853,-0.0312,0.0541,no trend,0.6196383329366708,0.0406,0.002411,SPEI Stable
3589,Ghora Pachhar,99,24.125,76.875,True,-0.0726,-0.1052,-0.0305,0.0748,no trend,0.6694724367031308,0.035,0.001944,SPEI Stable
3590,Ghora Pachhar,99,24.325,76.725,True,-0.0682,-0.1534,0.0419,0.1953,no trend,0.29724374939128984,0.0849,0.005384,SPEI Stable
3591,Parvan,99,24.475,76.575,True,-0.0644,-0.1626,0.0624,0.225,no trend,0.3456350347359809,0.0769,0.004772,SPEI Stable
3592,Londri,99,23.025,76.275,True,0.0014,-0.0059,0.0109,0.0169,no trend,0.7059983246415333,-0.031,-0.001778,SPEI Stable
3593,Kali Sindh,99,22.925,76.375,True,-0.0178,0.0278,-0.0767,-0.1044,no trend,0.21099478056058008,-0.1018,-0.006134,SPEI Stable
3594,Lakundar,99,23.525,76.225,True,0.0221,-0.0227,0.0798,0.1025,no trend,0.08959056933778209,0.138,0.007873,SPEI Stable
3595,Lakundar,99,23.825,76.225,True,0.0326,0.0067,0.0659,0.0591,no trend,0.34058148871273164,0.0777,0.004095,SPEI Stable
3596,Kali Sindh,99,24.075,76.225,True,0.0329,-0.0132,0.0923,0.1055,no trend,0.18018680964047862,0.1091,0.004906,SPEI Stable
3597,Tila,99,23.625,76.225,True,0.0255,-0.0321,0.0998,0.1318,no trend,0.11909587082872197,0.1268,0.006795,SPEI Stable
3598,Chhoti Kali Sindh,99,23.225,76.075,True,0.0325,-0.0499,0.1389,0.1889,no trend,0.3456350347359809,0.0769,0.005075,SPEI Stable
3599,Kanthali,99,24.175,76.175,True,0.0111,-0.0427,0.0804,0.1231,no trend,0.21099478056058008,0.1018,0.005881,SPEI Stable
3600,Ahu,99,24.075,75.925,True,0.0303,0.0068,0.0607,0.0539,no trend,0.5059696473025264,0.0543,0.002853,SPEI Stable
3601,Ahu,99,24.525,75.975,True,0.0747,0.0122,0.1555,0.1434,no trend,0.10997871362766065,0.13,0.005876,SPEI Stable
3602,Ahu,99,24.375,75.975,True,0.065,-0.0323,0.1904,0.2227,no trend,0.0841060449623876,0.1404,0.007032,SPEI Stable
3603,Dudhaliya,99,23.725,75.775,True,0.0605,-0.0051,0.1451,0.1502,no trend,0.4933559583597926,0.0559,0.004605,SPEI Stable
3604,Ahu,99,24.225,75.825,True,0.0621,-0.0352,0.1877,0.2229,no trend,0.1934395790262089,0.1058,0.005071,SPEI Stable
3605,Chhoti Kali Sindh,99,23.525,75.925,True,0.0295,-0.0551,0.1387,0.1938,no trend,0.5850664269805577,0.0447,0.00246,SPEI Stable
3606,Ansar,99,24.425,75.575,True,0.12,0.0691,0.1856,0.1164,no trend,0.7282502018687609,0.0286,0.001557,SPEI Stable
3607,Chambal,99,24.375,75.475,True,0.1395,0.0847,0.2102,0.1254,no trend,0.6266582636866325,0.0398,0.001872,SPEI Stable
3608,Chambal,99,24.625,75.575,True,0.1116,0.0174,0.2332,0.2159,no trend,0.3987716292538952,0.0688,0.003261,SPEI Stable
3609,Khoki,99,24.725,75.275,True,0.0689,-0.0401,0.2096,0.2497,no trend,0.1390971014746223,0.1203,0.005809,SPEI Stable
3610,Gunjali,99,24.775,75.175,True,0.0327,0.007,0.0657,0.0587,no trend,0.4505660066901904,0.0616,0.003082,SPEI Stable
3611,Gunjali,99,24.725,75.425,True,0.0937,-0.0074,0.2243,0.2318,no trend,0.4686422537687691,0.0592,0.003025,SPEI Stable
3612,Gunjali,99,24.775,75.375,True,0.0736,-0.0576,0.243,0.3006,no trend,0.13646394300489462,0.1211,0.006238,SPEI Stable
3613,Gunjali,99,24.775,75.475,True,0.0533,-0.0634,0.2038,0.2672,no trend,0.37161442772025643,0.0728,0.003871,SPEI Stable
3614,Chambal,99,24.975,75.325,True,0.0498,-0.0929,0.234,0.3269,no trend,0.11909587082872197,0.1268,0.006122,SPEI Stable
3615,Chambal,99,24.825,75.575,True,0.0837,-0.0213,0.2192,0.2405,no trend,0.5187510088374183,0.0527,0.002486,SPEI Stable
3616,Chambal,99,24.975,75.575,True,0.0738,0.0402,0.1171,0.0769,no trend,0.5714931653398074,0.0463,0.002261,SPEI Stable
3617,Chambal,99,25.025,75.575,True,0.0532,-0.0645,0.2051,0.2695,no trend,0.35073611533288473,0.0761,0.003746,SPEI Stable
3618,Chambal,99,25.175,75.825,True,-0.0027,-0.0402,0.0458,0.0861,no trend,0.8581805908972016,-0.0149,-0.00053,SPEI Stable
3619,Chandloi,99,25.175,75.925,True,-0.0191,-0.0548,0.027,0.0818,no trend,0.9683250952101472,-0.0036,-0.000122,SPEI Stable
3620,Thalera,99,25.275,75.725,True,-0.0228,-0.0501,0.0124,0.0625,no trend,0.9209218347701116,0.0085,0.00051,SPEI Stable
3621,Alnia,99,25.125,75.975,True,-0.0219,-0.0592,0.0262,0.0855,no trend,0.8503922744984573,-0.0157,-0.000955,SPEI Stable
3622,Chandloi,99,25.225,75.975,True,-0.0435,-0.0583,-0.0244,0.0339,no trend,0.803993983918406,-0.0205,-0.001054,SPEI Stable
3623,Chambal,99,25.375,76.125,True,-0.0666,-0.0595,-0.0759,-0.0164,no trend,0.9051746472382802,-0.0101,-0.000371,SPEI Stable
3624,Kural,99,25.425,75.875,True,-0.0608,-0.0821,-0.0333,0.0488,no trend,0.8816255210239117,0.0125,0.00036,SPEI Stable
3625,Mej,99,25.525,75.875,True,-0.08,-0.0316,-0.1424,-0.1108,no trend,0.31602819987913433,-0.0817,-0.005074,SPEI Stable
3626,Mej,99,25.575,76.125,True,-0.073,-0.0359,-0.1209,-0.085,no trend,0.5919087714885272,-0.0439,-0.002818,SPEI Stable
3627,Kali Sindh,99,25.475,76.325,True,-0.0719,-0.1172,-0.0133,0.1039,no trend,0.5782610692399586,0.0455,0.002916,SPEI Stable
3628,Chambal,99,25.625,76.275,True,-0.0546,-0.0513,-0.0589,-0.0076,no trend,0.9683250952101472,0.0036,0.000171,SPEI Stable
